Chinese Character,Hanyu Pinyin
尹,yin3
乍,zha4
乎,hu1
乏,fa2
𠂔,zi3
㐆,yin3
乑,yin2
乒,ping1
乓,pang1
𠂢,pai4
乖,guai1
𪜍,qian1
乘,cheng2
乙,yi3
𠃌,gun3
乜,mie1
九,jiu3
乞,qi3
也,ye3
乣,jiu1
㐌,yi2
乩,ji1
乪,nang2
乭,shi2
乯,hu1
㐖,xie2
乳,ru3
乴,xue2
乵,yan3
乸,na3
𠃺,jiu4
𤱡,tuo2
亃,lin3
亄,yi4
𠄅,ye4
𢆡,nian1
亅,jue2
𠄌,jue2
了,le5／le0
𠄍,jie2
𠄏,diao3
𠄑,jue2
予,yu3
𠄖,ling2
𪜜,bei4
㐨,xu4
事,shi4
𠄚,ting1
𪜝,qi2
二,er4
亍,chu4
互,hu4
亓,qi2
五,wu3
井,jing3
些,xie1
㐩,xing2
亟,ji2
𠄮,mo3
𠄱,yi2
𪜞,zhen1
𪜟,shu2
亠,tou2
亡,wang2
亢,kang4
交,jiao1
亥,hai4
亦,yi4
亨,heng1
㐭,lin3
享,xiang3
京,jing1
𠅌,yi2
亭,ting2
亮,liang4
亳,bo2
𠅤,xi2
亴,you4
𠅬,Bao1
亶,dan3
𠆁,luo3
𠆎,wei2
𪜦,ting2
亹,wei3
人,ren2
亻,ren2
什,shen2
仁,ren2
仂,le4
仃,ding1
仄,ze4
仇,chou2
仈,Ba1
今,jin1
介,jie4
仍,reng2
𠆧,tu2
㐱,ling4
㐲,dai4
仔,zi3
仕,shi4
他,ta1
仗,zhang4
付,fu4
仙,xian1
仚,xian1
仛,cha4
仜,hong2
仝,tong2
仞,ren4
仟,qian1
𡠞,fu2
𡠒,guan1
𡠙,tong1
𡟕,shi1
𡟟,cong1
𡞥,hou2
𡞧,zong1
𡟑,hou2
犭,quan3
氵,shui3
丨,gun3
丶,zhu3
丿,pie3
亅,jue2
亠,tou2
冫,bing1
㐨,xu4
㒁,yu3
仠,gan3
仡,yi4
仢,bo2
代,dai4
令,ling4
以,yi3
仨,sa1
仩,shang4
仫,mu4
𠆩,fan4
㐸,ci4
㐻,nei4
仯,chao4
仰,yang3
仱,qin2
仲,zhong4
仳,pi3
仴,wo4
仵,wu3
件,jian4
仸,yao3
仹,feng1
任,ren4
份,fen4
仿,fang3
伀,zhong1
伃,yu2
伄,diao4
伅,dun4
伆,wu4
伈,xin3
伉,kang4
伊,yi1
伋,ji2
伌,ai4
伍,wu3
伎,ji4
伏,fu2
休,xiu1
伒,jin4
伔,dan3
伕,fu1
伝,yun2
伢,ya2
伬,che3
𠆵,ni2
𠆶,dan4
𠆾,liu4
𠇋,dan3
㑁,zhuo1
伭,xian2
伯,bo2
估,gu1
伳,xie4
伴,ban4
伶,ling2
伷,zhou4
伸,shen1
伹,qu1
伺,si4
伻,beng1
似,si4
伽,qie2
伾,pi1
伿,yi4
佁,yi3
佂,zheng1
佃,tian2
佄,han1
佅,mai4
但,dan4
佉,qu1
佊,bi3
佋,zhao1
佌,ci3
位,wei4
低,di1
住,zhu4
佐,zuo3
佑,you4
佒,yang1
何,he2
佖,bi4
佗,tuo2
佘,She2
佚,yi4
佛,fo2
作,zuo4
佝,gou1
佞,ning4
佟,tong2
你,ni3
佡,xian1
佢,qu2
佤,wa3
佧,ka3
佨,bao1
𪜮,mu4
㑉,su4
㑊,yi4
㑋,qiong4
㑌,kuang1
㑍,lei3
㑎,nao3
㑓,jun4
佩,pei4
佪,hui2
佫,ge2
佬,lao3
佭,xiang2
佮,ge2
佯,yang2
佰,bai3
佳,jia1
佴,er4
佶,ji2
佷,hen3
佸,huo2
佹,gui3
佺,quan2
佻,tiao1
佼,jiao3
佽,ci4
